Survey Year,Genus,Species,Family,Taxon,Appear in Woody Survey,Appear in Herb Transects,Appear as Additional Species,Native,Non-native,Invasive
2016,Acer,negundo,Sapindaceae,acer negundo,n,n,y,y,n,n
2016,Acer,platanoides,Sapindaceae,acer platanoides,y,y,y,n,y,y
2016,Acer,pseudoplatanus,Sapindaceae,acer pseudoplatanus,y,y,y,n,y,y
2016,Acer,rubrum,Sapindaceae,acer rubrum,y,y,y,y,n,n
2016,Acer,saccharinum,Sapindaceae,acer saccharinum,n,y,n,y,n,n
2016,Acer,saccharum,Sapindaceae,acer saccharum,y,y,y,y,n,n
2016,Ageratina,altissima,Asteraceae,ageratina altissima,y,y,y,y,n,n
2016,Agrostis,perennans,Poaceae,agrostis perennans,n,y,y,y,n,n
2016,Agrostis,spp.,Poaceae,agrostis spp.,n,y,y,n,n,n
2016,Ailanthus,altissima,Simaroubaceae,ailanthus altissima,n,y,y,n,y,y
2016,Alliaria,petiolata,Brassicaceae,alliaria petiolata,n,y,y,n,y,y
2016,Alnus,glutinosa,Betulaceae,alnus glutinosa,n,y,n,n,y,y
2016,Amelanchier,spp.,Rosaceae,amelanchier spp.,y,y,y,y,n,n
2016,Ampelopsis,brevipedunculata,Vitaceae,ampelopsis brevipedunculata,y,y,y,n,y,y
2016,Apiaceae,spp.,Apiaceae,apiaceae spp.,n,n,y,n,n,n
2016,Apocynum,cannabinum,Apocynaceae,apocynum cannabinum,n,y,n,y,n,n
2016,Aralia,elata,Araliaceae,aralia elata,y,y,y,n,y,y
2016,Aralia,nudicaulis,Araliaceae,aralia nudicaulis,n,n,y,y,n,n
2016,Aralia,racemosa,Araliaceae,aralia racemosa,n,y,y,y,n,n
2016,Arctium,minus,Asteraceae,arctium minus,n,n,y,n,y,n
2016,Arisaema,dracontium,Araceae,arisaema dracontium,n,n,n,n,y,n
2016,Arisaema,triphyllum,Araceae,arisaema triphyllum,n,y,y,y,n,n
2016,Artemisia,vulgaris,Asteraceae,artemisia vulgaris,n,y,y,n,y,y
2016,Arum,italicum,Araceae,arum italicum,n,n,n,n,y,n
2016,Asimina,triloba,Annonaceae,asimina triloba,n,n,y,y,n,n
2016,Asplenium,platyneuron,Aspleniaceae,asplenium platyneuron,n,n,y,y,n,n
2016,Athyrium,filix-femina,Woodsiaceae,athyrium filix-femina,n,y,y,y,n,n
2016,Aucuba,japonica,Garryaceae,aucuba japonica,n,n,n,n,y,n
2016,Baccharis,halimifolia,Asteraceae,baccharis halimifolia,n,y,n,y,n,n
2016,Betula,lenta,Betulaceae,betula lenta,y,y,y,y,n,n
2016,Bidens,frondosa,Asteraceae,bidens frondosa,n,y,y,y,n,n
2016,Bidens,spp.,Asteraceae,bidens spp.,n,y,y,n,n,n
2016,Boehmeria,cylindrica,Urticaceae,boehmeria cylindrica,n,y,y,y,n,n
2016,Callicarpa,sp.,Lamiaceae,callicarpa sp.,y,n,n,n,y,n
2016,Callitriche,terrestris,Plantaginaceae,callitriche terrestris,n,n,n,y,n,n
2016,Carex,albicans,Cyperaceae,carex albicans,n,n,y,y,n,n
2016,Carex,blanda,Cyperaceae,carex blanda,n,n,y,y,n,n
2016,Carex,cephalophora,Cyperaceae,carex cephalophora,n,n,y,y,n,n
2016,Carex,debilis,Cyperaceae,carex debilis,n,y,y,y,n,n
2016,Carex,grayi,Cyperaceae,carex grayi,n,y,y,y,n,n
2016,Carex,laxiculmis,Cyperaceae,carex laxiculmis,n,y,n,y,n,n
2016,Carex,pensylvanica,Cyperaceae,carex pensylvanica,n,y,y,y,n,n
2016,Carex,plantaginea,Cyperaceae,carex plantaginea,n,y,y,y,n,n
2016,Carex,platyphylla,Cyperaceae,carex platyphylla,n,y,y,y,n,n
2016,Carex,radiata,Cyperaceae,carex radiata,n,y,y,y,n,n
2016,Carex,rosea,Cyperaceae,carex rosea,n,n,y,y,n,n
2016,Carex,spp.,Cyperaceae,carex spp.,n,y,y,n,n,n
2016,Carex,sprengelii,Cyperaceae,carex sprengelii,n,n,n,y,n,n
2016,Carex,swanii,Cyperaceae,carex swanii,n,y,y,y,n,n
2016,Carex,tonsa,Cyperaceae,carex tonsa,n,y,n,y,n,n
2016,Carex,virescens,Cyperaceae,carex virescens,n,n,y,y,n,n
2016,Carpinus,caroliniana,Betulaceae,carpinus caroliniana,y,y,y,y,n,n
2016,Carya,cordiformis,Juglandaceae,carya cordiformis,y,y,y,y,n,n
2016,Carya,glabra,Juglandaceae,carya glabra,y,y,y,y,n,n
2016,Carya,ovata,Juglandaceae,carya ovata,y,n,n,y,n,n
2016,Carya,tomentosa,Juglandaceae,carya tomentosa,y,y,y,y,n,n
2016,Castanea,dentata,Fagaceae,castanea dentata,y,n,n,y,n,n
2016,Catalpa,bignonioides,Bignoniaceae,catalpa bignonioides,y,n,n,y,n,n
2016,Catalpa,speciosa,Bignoniaceae,catalpa speciosa,y,n,n,y,n,n
2016,Celastrus,orbiculatus,Celastraceae,celastrus orbiculatus,n,y,y,n,y,y
2016,Celtis,occidentalis,Cannabaceae,celtis occidentalis,y,n,n,y,n,n
2016,Cephalotaxus,harringtonia,Taxaceae,cephalotaxus harringtonia,y,y,y,n,y,n
2016,Cercis,canadensis,Fabaceae,cercis canadensis,n,y,y,y,n,n
2016,Chenopodium,album,Amaranthaceae,chenopodium album,n,n,y,y,n,n
2016,Chionanthus,virginicus,Oleaceae,chionanthus virginicus,y,y,y,y,n,n
2016,Cinna,arundinacea,Poaceae,cinna arundinacea,n,n,y,y,n,n
